FID,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,all_househ,child_per_,Total_Population
0,3,Brooklyn,047,BK88,Borough Park,39247.228027700003000,54005019.070900001000000,13914.000000000000000,1159.500000000000000,106357.000000000000000
1,4,Queens,081,QN52,East Flushing,25843.364922900000000,29454380.013500001000000,2787.000000000000000,929.000000000000000,26982.000000000000000
2,4,Queens,081,QN48,Auburndale,32446.878752799999000,34164217.658299997000000,2215.000000000000000,738.333333333000040,19996.000000000000000
3,4,Queens,081,QN51,Murray Hill,33266.904732100003000,52488277.293799996000000,5278.000000000000000,1055.599999999999900,51739.000000000000000
4,4,Queens,081,QN27,East Elmhurst,19816.712111500001000,19726845.632300001000000,3089.000000000000000,1544.500000000000000,23150.000000000000000
5,2,Bronx,005,BX35,Morrisania-Melrose,27740.845668000002000,16891753.440600000000000,8342.000000000000000,1042.750000000000000,37865.000000000000000
6,2,Bronx,005,BX98,Rikers Island,18903.346374199999000,18154595.763500001000000,0.000000000000000,0.000000000000000,11091.000000000000000
7,4,Queens,081,QN07,Hollis,20976.335573900000000,22887772.865200002000000,2722.000000000000000,907.333333333000040,20269.000000000000000
8,1,Manhattan,061,MN06,Manhattanville,17040.685475300001000,10647077.464100000000000,3133.000000000000000,522.166666666999960,22950.000000000000000
9,4,Queens,081,QN02,Springfield Gardens North,25433.582834500001000,28428437.671999998000000,3706.000000000000000,926.500000000000000,25409.000000000000000
10,4,Queens,081,QN71,Old Astoria,19335.567091600002000,15621238.579000000000000,3018.000000000000000,754.500000000000000,27814.000000000000000
11,4,Queens,081,QN46,Bayside-Bayside Hills,43014.805293700003000,80797535.865500003000000,5209.000000000000000,868.166666666999960,43808.000000000000000
12,4,Queens,081,QN38,Pomonok-Flushing Heights-Hillcrest,30731.592254700001000,38835956.571800001000000,4407.000000000000000,1101.750000000000000,34034.000000000000000
13,1,Manhattan,061,MN15,Clinton,35037.171581199997000,18381380.352400001000000,2545.000000000000000,424.166666667000020,45884.000000000000000
14,3,Brooklyn,047,BK25,Homecrest,27514.023335499998000,29991967.001899999000000,5435.000000000000000,905.833333333000040,44316.000000000000000
15,2,Bronx,005,BX59,Westchester-Unionport,26557.409184500000000,23945209.780000001000000,4817.000000000000000,963.399999999999980,27248.000000000000000
16,4,Queens,081,QN41,Fresh Meadows-Utopia,22106.431256899999000,27774853.486000001000000,2297.000000000000000,765.666666666999960,17812.000000000000000
17,5,Staten Island,085,SI99,park-cemetery-etc-Staten Island,46186.206531900003000,24000715.476599999000000,0.000000000000000,0.000000000000000,0.000000000000000
18,4,Queens,081,QN18,Rego Park,26675.177055600001000,19941410.458200000000000,3084.000000000000000,771.000000000000000,28260.000000000000000
19,1,Manhattan,061,MN17,Midtown-Midtown South,27035.738379900002000,30192057.084800001000000,1436.000000000000000,0.000000000000000,28630.000000000000000
20,1,Manhattan,061,MN19,Turtle Bay-East Midtown,21638.781375300001000,17397872.255199999000000,3031.000000000000000,757.750000000000000,51231.000000000000000
21,4,Queens,081,QN47,Ft. Totten-Bay Terrace-Clearview,39619.861521400002000,46293660.190899998000000,2195.000000000000000,731.666666666999960,21751.000000000000000
22,4,Queens,081,QN08,St. Albans,45401.316881500003000,77412747.865300000000000,6682.000000000000000,954.571428570999960,48593.000000000000000
23,4,Queens,081,QN54,Richmond Hill,33791.570998600000000,50978895.761799999000000,8681.000000000000000,1085.125000000000000,62982.000000000000000
24,4,Queens,081,QN25,Corona,23870.153977499998000,20080371.653600000000000,7832.000000000000000,1958.000000000000000,57658.000000000000000
25,4,Queens,081,QN55,South Ozone Park,36708.253350300001000,82461495.502599999000000,9909.000000000000000,1101.000000000000000,75878.000000000000000
26,4,Queens,081,QN06,Jamaica Estates-Holliswood,35465.974936099999000,42789975.854000002000000,2924.000000000000000,1462.000000000000000,25480.000000000000000
27,3,Brooklyn,047,BK44,Madison,26237.257641200002000,27379162.169500001000000,4588.000000000000000,1147.000000000000000,38917.000000000000000
28,3,Brooklyn,047,BK40,Windsor Terrace,19033.735635699999000,14041656.219400000000000,2678.000000000000000,1339.000000000000000,20988.000000000000000
29,3,Brooklyn,047,BK41,Kensington-Ocean Parkway,20800.752117399999000,15893305.398399999000000,4373.000000000000000,2186.500000000000000,36891.000000000000000
30,3,Brooklyn,047,BK95,Erasmus,18756.702033099999000,14522603.563100001000000,4709.000000000000000,1569.666666670000000,29938.000000000000000
31,2,Bronx,005,BX33,Longwood,18982.129532200001000,10732452.208000001000000,5274.000000000000000,753.428571429000040,26196.000000000000000
32,3,Brooklyn,047,BK69,Clinton Hill,23971.465821999998000,20528197.196500000000000,3691.000000000000000,410.111111111000010,34791.000000000000000
33,2,Bronx,005,BX52,Schuylerville-Throgs Neck-Edgewater Park,91013.190265500001000,88590128.448699996000000,6523.000000000000000,2174.333333330000200,44167.000000000000000
34,4,Queens,081,QN49,Whitestone,56927.914923400000000,69043734.985300004000000,3518.000000000000000,502.571428571000010,30773.000000000000000
35,4,Queens,081,QN37,Kew Gardens Hills,33109.321705100003000,37891142.436099999000000,4662.000000000000000,777.000000000000000,37479.000000000000000
36,1,Manhattan,061,MN25,Battery Park City-Lower Manhattan,45693.099912500002000,19054192.883499999000000,3314.000000000000000,552.333333333000040,39699.000000000000000
37,4,Queens,081,QN26,North Corona,18431.057754400001000,18000863.067499999000000,6571.000000000000000,1642.750000000000000,52037.000000000000000
38,3,Brooklyn,047,BK27,Bath Beach,22383.464644700001000,20538596.708799999000000,3735.000000000000000,933.750000000000000,29931.000000000000000
39,3,Brooklyn,047,BK28,Bensonhurst West,37137.160581800003000,46666593.573600002000000,10674.000000000000000,1334.250000000000000,88727.000000000000000
40,3,Brooklyn,047,BK76,Greenpoint,29112.577735300001000,35338829.737899996000000,2635.000000000000000,292.777777777999970,34719.000000000000000
41,5,Staten Island,085,SI54,Great Kills,66103.798450999995000,89599706.090800002000000,5297.000000000000000,882.833333333000040,40720.000000000000000
42,4,Queens,081,QN30,Maspeth,41265.643469800001000,35633160.772600003000000,4011.000000000000000,668.500000000000000,30516.000000000000000
43,3,Brooklyn,047,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,91048.349488699998000,63342329.972099997000000,7815.000000000000000,868.333333333000040,64518.000000000000000
44,4,Queens,081,QN35,Briarwood-Jamaica Hills,30081.932029899999000,29408862.620400000000000,4498.000000000000000,749.666666666999960,39138.000000000000000
45,4,Queens,081,QN61,Jamaica,43696.364722500002000,47308036.546599999000000,6860.000000000000000,1143.333333330000000,53751.000000000000000
46,5,Staten Island,085,SI45,New Dorp-Midland Beach,34339.092109300000000,55434780.846799999000000,2842.000000000000000,710.500000000000000,21896.000000000000000
47,4,Queens,081,QN63,Woodside,27872.186012499998000,28245720.273100000000000,4828.000000000000000,965.600000000000020,45099.000000000000000
48,4,Queens,081,QN76,Baisley Park,31475.095256500001000,44043134.637999997000000,5247.000000000000000,583.000000000000000,34603.000000000000000
49,4,Queens,081,QN01,South Jamaica,32122.552138600000000,39971928.789800003000000,6286.000000000000000,898.000000000000000,38894.000000000000000
50,2,Bronx,005,BX10,Pelham Bay-Country Club-City Island,138755.673012000010000,40137499.007100001000000,3339.000000000000000,1669.500000000000000,26583.000000000000000
51,3,Brooklyn,047,BK34,Sunset Park East,25948.767809299999000,27125857.589299999000000,8986.000000000000000,1283.714285710000000,72340.000000000000000
52,4,Queens,081,QN33,Cambria Heights,26168.270343000000000,33076797.904500000000000,2052.000000000000000,410.399999999999980,18677.000000000000000
